text,translated_te,lang,id,polarization,political,racial/ethnic,religious,gender/sexual,other,stereotype,vilification,dehumanization,extreme_language,lack_of_empathy,invalidation
ايه الاجالك من كول واحد يهزقك يابنت ستين كلب ملقتيش راجل يلمك,"ఒక వ్యక్తి మిమ్మల్ని అవమానించినప్పుడు, ""మీరు 60 ఏళ్ల వయస్సులో ఉన్నారు, మీకు జీవిత భాగస్వామి దొరకలేదు"" అని చెప్పడం.",arb,arb_72f53c56af8a8b4c230d00ed886ff636,1,0,0,0,1,1,1,1,1,1,0,1
ليس هناك حشد شعبي وإنما هو حقد شيعي على السنة .,"ఇది సాధారణ ప్రజల ప్రతాపం కాదు, ఇది షియా ముస్లింల ద్వారా సన్యాస్ ముస్లింలపై వ్యతిరేక భావన.",arb,arb_ebe0bae6ae671dd5c5c105dc94173b55,1,0,0,1,0,0,1,0,0,1,0,1
إسمعوا يبتوع التجمع الثالث لازم تفهموا إن دى مش أخلاق عين شمس إحنا بلطجية بس مش لدرجةالعالم أكلة لحوم البشر دول,"మూడవ సమూహం యొక్క సభ్యులు, ఇది ఖచ్చితంగా ఖమ్మం యొక్క నైతిక విలువలకు విరుద్ధం. మేము నేరస్థులు, కానీ ప్రపంచంలోని ఇతర నేరస్థుల స్థాయిలో కాదు.",arb,arb_4f6e187ba4f63fa3022e8afb0f654bdf,1,0,1,0,0,1,1,1,1,1,0,0
أمريكا قتلت بالامس معوق رفض رفع يديه فماذا تريد من الشرطة المصرية أن تفعل عندما تتعامل مع مسلحين معهم متفجرات,"గతంలో అమెరికా ఒక వ్యక్తిని, అతను తన చేతులను ఎత్తడానికి నిరాకరించాడు. ఇప్పుడు, అతను పేలుడు పదార్థాలతో ఉన్న ఆయుధాలతో ఉన్న వ్యక్తులతో వ్యవహరించేటప్పుడు, ఈజిప్టు పోలీసుల నుండి అతను ఏమి కోరుకుంటున్నాడు?",arb,arb_ded3468b5ff1e724ee7a6fea9e7e9b31,1,1,1,0,0,0,1,1,0,0,1,1
"هي زعلت لية مش فاهم 
ماهي وكل النسوان بيروحوا الجيم المختلط علشان يتم التحرش بيهم",నేను అర్థం చేసుకోలేకపోతున్నాను. మహిళలు కలిసి వ్యాయామశాలలో వెళ్లడం వల్ల లైంగిక వేధింపులకు గురయ్యే అవకాశం ఉంది.,arb,arb_70ec85371e45ab3806c3401d14c46dfa,1,0,0,0,1,0,1,1,0,1,1,1
مين سائل عنن وين ماكانو يكونو بجهنم تاخدن هم والنصيرية ديدن واحد... منافقين مرتدين يكرهون المسلمين,"""వారు ఎక్కడ ఉన్నా, నరకంలో ఉండవచ్చు... కానీ వారు నిస్సహాయులు మరియు నిస్సహాయులు... వారు అబద్ధాలు చెబుతూ, ముస్లింలను ద్వేషిస్తారు.""",arb,arb_503f064bd77052039171377f61b4a6a5,1,0,1,1,0,0,1,1,0,1,1,1
شعب جاهل ومتخلف يحب الخير لأمه وأخته دين ذكوري وإحتقار المرأة تسعى وتشتغل مثلها الرجل,"జ్ఞానం లేని, అభివృద్ధి లేని ఒక సమాజం, తమ తల్లి, సోదరి కోసం మంచి కోరుకుంటుంది. పురుషులు మాత్రమే పని చేయాలని, స్త్రీలు పని చేయకూడదని భావిస్తారు.",arb,arb_5134aff5e639ba63948b404d58ccddd5,1,0,1,1,1,1,1,1,0,1,1,1
الخليجيين يظنوا بانهم افضل من الاخرين بسبب فلوسهم بس لازم يعرفوا بان النخوه و العرووووبه فوق المال و الفلوس بالحذاااااء,"""ఖలీజులు తమ దగ్గర ఉన్న డబ్బు కారణంగా, మిగిలిన వారి కంటే తాము గొప్ప అని అనుకుంటారు. కానీ నిజానికి, గౌరవం, దయ, మరియు నిజాయితీ అనేవి డబ్బు కంటే చాలా ముఖ్యమైనవి.""",arb,arb_303d8816de891f54aefdba7e2c4fe0cf,1,0,1,0,0,0,1,1,0,1,0,1
لعنه الله عليك أو على احمد الشرع,దేవుడు ఆహ్మద్ ష్రె మీద ప్రతీకారం తీర్చుకోవాలని లేదా ఆహ్మద్ ష్రె మీద ప్రతీకారం తీర్చుకోవాలని.,arb,arb_9eb8a241e79b72d03edf44521024475a,1,1,1,0,0,1,0,1,0,1,0,0
لعنه الشعب التونسي الساكت والخانس لعنكم,"తొనిసియన్ ప్రజల నిశ్శబ్దానికి, హాన్స్‌కు శాపం.",arb,arb_5ce632d936375dbc64ed86cc7507d9ce,1,1,1,0,0,0,0,1,0,1,0,1
