text,label,source
"If the mother starts feeding the child with an expression of distaste at the sight of the food , the child will not be interested in taking that food .",1,/Users/aashrithalakshmi/Downloads/GEPA/data/df4.csv
"G.A. Henty s historical adventure novels for boys were also wildly popular during the height of the British empire. They aroused the excitement and adventure of conquering strange lands. They were set in Mexico, Alexandria, Siberia and many other countries. They were always about young boys who witness grand historical events, get involved in some military action and show what they called English courage.",1,/Users/aashrithalakshmi/Downloads/GEPA/data/df4.csv
"During winter generally woollen sweaters are used . In this season girls are see nitting sweater , cap and sock with wool and stick .",1,/Users/aashrithalakshmi/Downloads/GEPA/data/df4.csv
"Look carefully at the painting and identify the objects which are political symbols you saw in Box (broken chain, red cap, fasces, Charter of the Declaration of Rights). The pyramid stands for equality, often represented by a triangle. Use the symbols to interpret the painting. Describe your impressions of the female figure of liberty.",1,/Users/aashrithalakshmi/Downloads/GEPA/data/df4.csv
"Very often the child may cry out of jealousy , such as when the mother takes care of another child , takes into her lap in front of it .",1,/Users/aashrithalakshmi/Downloads/GEPA/data/df4.csv
"Particularly , mothers remain more cautious about these things .",1,/Users/aashrithalakshmi/Downloads/GEPA/data/df4.csv
You might have observed a mother sensing the temperature of her baby by gentle touch of hand .,1,/Users/aashrithalakshmi/Downloads/GEPA/data/df4.csv
"To bear this huge responsibility , she has to possess some basic qualities after making remarkable efforts with honesty and sincerity .",1,/Users/aashrithalakshmi/Downloads/GEPA/data/df4.csv
"Besides , fathers help the mothers in different household works .",1,/Users/aashrithalakshmi/Downloads/GEPA/data/df4.csv
"So , one can easily understand , the importance of a housewife in running the family .",1,/Users/aashrithalakshmi/Downloads/GEPA/data/df4.csv
"In fine , it is the duty of a housewife to express kindness towards the servants by measuring their physical ability and psychological attitude .",1,/Users/aashrithalakshmi/Downloads/GEPA/data/df4.csv
"Depending on mother ' s convenience , it is better to bathe the child during the morning hours of the day .",1,/Users/aashrithalakshmi/Downloads/GEPA/data/df4.csv
We can bring our mother water .,1,/Users/aashrithalakshmi/Downloads/GEPA/data/df4.csv
She has to shoulder and manage various responsibilities to run the family in proper order .,1,/Users/aashrithalakshmi/Downloads/GEPA/data/df4.csv
"Women were fond of the games like kari , guti , kanamachi and bagbandhi .",1,/Users/aashrithalakshmi/Downloads/GEPA/data/df4.csv
The women of Mayanmar wear coloured lungis and blouses .,1,/Users/aashrithalakshmi/Downloads/GEPA/data/df4.csv
"You know that a brand new bicycle has shiny handlebar and wheel rims. However, if these are accidentally scratched, the shiny coating comes off revealing a not so shiny surface beneath. You might have also seen women using ornaments, which appear to be made of gold. However, with repeated use, the gold coating wears off, revealing silver or some other metal beneath.",1,/Users/aashrithalakshmi/Downloads/GEPA/data/df4.csv
A scuba diver has an oxygen tank on his back to breathe underwater .,1,/Users/aashrithalakshmi/Downloads/GEPA/data/df4.csv
The mental attitude and power of a housewife can be assessed by this .,1,/Users/aashrithalakshmi/Downloads/GEPA/data/df4.csv
Sivaraman plans to send his son to school when he comes of age. His,1,/Users/aashrithalakshmi/Downloads/GEPA/data/df4.csv
I came to my husband 's house .,1,/Users/aashrithalakshmi/Downloads/GEPA/data/df4.csv
The tailor refused to alter the shirt because he said that it is not possible to increase the size of a shirt.,1,/Users/aashrithalakshmi/Downloads/GEPA/data/df4.csv
"For example , if a housewife is not able to cook a new item of food , she must try to make it again and again .",1,/Users/aashrithalakshmi/Downloads/GEPA/data/df4.csv
"Well ahead of the festival , people clean their houses and throughout Pongal Rangoli days , women decorate their houses with colourful .",1,/Users/aashrithalakshmi/Downloads/GEPA/data/df4.csv
"For example , for the family , she will choose a balanced diet , select clothing according to the needs and urge the family members to abide by the social customs and values .",1,/Users/aashrithalakshmi/Downloads/GEPA/data/df0.csv
The responsibility of earning livelihood is vested on the father .,1,/Users/aashrithalakshmi/Downloads/GEPA/data/df0.csv
Then she needs to think about the requirements of each of the family members according to his / her age and demands and should try to fulfill all the needs accordingly .,1,/Users/aashrithalakshmi/Downloads/GEPA/data/df0.csv
Responsibilities of the boys are a bit different .,1,/Users/aashrithalakshmi/Downloads/GEPA/data/df0.csv
He is one of us .,1,/Users/aashrithalakshmi/Downloads/GEPA/data/df0.csv
"Besides sari , women should keep at least a set of salwar and kameez .",1,/Users/aashrithalakshmi/Downloads/GEPA/data/df0.csv
"If the housewife is not able to adapt herself with all the changing situations , there will be a possibility of confusion .",1,/Users/aashrithalakshmi/Downloads/GEPA/data/df0.csv
