text,label,source
Turbine Fig . Each turbine is made of curved blades arranged like the sails of a windmill .,0,/Users/aashrithalakshmi/Downloads/GEPA/data/df4.csv
Observe the pictures given below .,0,/Users/aashrithalakshmi/Downloads/GEPA/data/df4.csv
"long the Congress had ignored the dalits, for fear of offending the sanatanis, the conservative high-caste Hindus. But Mahatma Gandhi declared that swaraj would not come for a hundred years if untouchability was not eliminated. He called the untouchables harijan, or the children of God, organised satyagraha to secure them entry into temples, and access to public wells, tanks, roads and schools. He himself cleaned toilets to dignify the work of the bhangi (the sweepers), and persuaded upper castes to change their heart and give up the sin of untouchability . But many dalit leaders were keen on a different political solution to the problems of the community. They began organising themselves, demanding reserved seats in educational institutions, and a separate electorate that would choose dalit members for legislative councils. Political empowerment, they believed, would resolve the problems of their social disabilities.",0,/Users/aashrithalakshmi/Downloads/GEPA/data/df4.csv
Sand and stones form a heterogeneous mixture.,0,/Users/aashrithalakshmi/Downloads/GEPA/data/df4.csv
Aim,0,/Users/aashrithalakshmi/Downloads/GEPA/data/df4.csv
remaining should be inside the circle .,0,/Users/aashrithalakshmi/Downloads/GEPA/data/df4.csv
Pull the short hand of leziem towards body .,0,/Users/aashrithalakshmi/Downloads/GEPA/data/df4.csv
"Amongthe various oilseeds produced in Bangladesh , mustard , rai , peanut , linseed , soyabean , coconut etc are the main ones .",0,/Users/aashrithalakshmi/Downloads/GEPA/data/df4.csv
"From the velocity-time relation (Eq. .), we get",0,/Users/aashrithalakshmi/Downloads/GEPA/data/df4.csv
"Greater is the displacement , greater is the work .",0,/Users/aashrithalakshmi/Downloads/GEPA/data/df4.csv
It breaks down and releases oxygen in places where it is needed .,0,/Users/aashrithalakshmi/Downloads/GEPA/data/df4.csv
"The very thin elastic , living membrane that envelopes the cytoplasm is called the cell membrane or plasma membrane .",0,/Users/aashrithalakshmi/Downloads/GEPA/data/df4.csv
Fig. . Flow of heat through a metal strip,0,/Users/aashrithalakshmi/Downloads/GEPA/data/df4.csv
Restlessness acts in itself which has its outburst through crying .,0,/Users/aashrithalakshmi/Downloads/GEPA/data/df4.csv
Measure the mass of the ball bearing and record it in the table below.,0,/Users/aashrithalakshmi/Downloads/GEPA/data/df4.csv
De ne electrolytes and non electrolytes .,0,/Users/aashrithalakshmi/Downloads/GEPA/data/df4.csv
The incident rays of light diverge to be reflected on the retina .,0,/Users/aashrithalakshmi/Downloads/GEPA/data/df4.csv
What are artificial magnets ?,0,/Users/aashrithalakshmi/Downloads/GEPA/data/df4.csv
Lord Mountbatten reached India in February as the new Viceroy .,0,/Users/aashrithalakshmi/Downloads/GEPA/data/df4.csv
"Meerabai could not tolerate this and she left to Brindavan , the pilgrimage place of Srikrishna .",0,/Users/aashrithalakshmi/Downloads/GEPA/data/df4.csv
What we have learnt,0,/Users/aashrithalakshmi/Downloads/GEPA/data/df4.csv
